ticker,snapshot_date,kurs_zamkniecia,zmiana_procentowa,zmiana_kwotowa,source
BAC,2025-04-09,1.9686,-4.96,-0.1026,
BAC,2025-04-10,1.9966,1.42,0.028,
BAC,2025-04-11,2.1365,7.01,0.14,
BAC,2025-04-14,2.2392,4.8,0.1026,
BAC,2025-04-15,2.1272,-5.0,-0.112,
BAC,2025-04-16,2.0526,-3.51,-0.0746,
BAC,2025-04-17,2.1459,4.55,0.0933,
BAC,2025-04-22,2.2485,4.78,0.1026,
BAC,2025-04-23,2.3698,5.39,0.1213,
BAC,2025-04-24,2.3325,-1.57,-0.0373,
BAC,2025-04-25,2.4258,4.0,0.0933,
BAC,2025-04-28,2.3885,-1.54,-0.0373,
BAC,2025-04-29,2.4071,0.78,0.0186,
BAC,2025-04-30,2.2951,-4.65,-0.112,
BAC,2025-05-02,2.2858,-0.41,-0.0093,
BAC,2025-05-05,2.3138,1.22,0.028,
BAC,2025-05-06,2.1645,-6.45,-0.1493,
BAC,2025-05-07,2.2672,4.74,0.1026,
BAC,2025-05-08,2.2765,0.41,0.0093,
BAC,2025-05-09,2.1925,-3.69,-0.084,
BAC,2025-05-12,2.2858,4.26,0.0933,
BAC,2025-05-13,2.2951,0.41,0.0093,
BAC,2025-05-14,2.1832,-4.88,-0.112,
BAC,2025-05-15,2.2392,2.56,0.056,
BAC,2025-05-16,2.2298,-0.42,-0.0093,
BAC,2025-05-19,2.1459,-3.77,-0.084,
BAC,2025-05-20,2.0339,-5.22,-0.112,
BAC,2025-05-21,2.0619,1.38,0.028,
BAC,2025-05-22,2.0992,1.81,0.0373,
BAC,2025-05-23,2.0899,-0.44,-0.0093,
BAC,2025-05-26,2.0806,-0.45,-0.0093,
BAC,2025-05-27,2.0712,-0.45,-0.0093,
BAC,2025-05-28,2.0432,-1.35,-0.028,
BAC,2025-05-29,1.9966,-2.28,-0.0466,
BAC,2025-05-30,2.0526,2.8,0.056,
BAC,2025-06-02,2.0339,-0.91,-0.0187,
BAC,2025-06-03,2.0526,0.92,0.0187,
BAC,2025-06-04,2.0246,-1.36,-0.028,
BAC,2025-06-05,2.0619,1.84,0.0373,
BAC,2025-06-06,2.0619,0.0,0.0,
BAC,2025-06-09,2.1552,4.52,0.0933,
BAC,2025-06-10,2.1459,-0.43,-0.0093,
BAC,2025-06-11,2.3325,8.7,0.1866,
BAC,2025-06-12,2.3231,-0.4,-0.0093,
BAC,2025-06-13,2.2765,-2.01,-0.0466,
BAC,2025-06-16,2.1272,-6.56,-0.1493,
BAC,2025-06-17,2.2819,7.27,0.1547,
BAC,2025-06-18,2.3109,1.27,0.029,
BAC,2025-06-20,2.2916,-0.84,-0.0193,
BAC,2025-06-23,2.2239,-2.95,-0.0677,
BAC,2025-06-24,2.3979,7.83,0.174,
BAC,2025-06-25,2.4173,0.81,0.0193,
BAC,2025-06-26,2.2529,-6.8,-0.1644,
BAC,2025-06-27,2.4076,6.87,0.1547,
BAC,2025-06-30,2.4173,0.4,0.0097,
BAC,2025-07-01,2.2722,-6.0,-0.145,
BAC,2025-07-02,2.3883,5.11,0.116,
BAC,2025-07-03,2.4076,0.81,0.0193,
BAC,2025-07-04,2.3013,-4.42,-0.1064,
BAC,2025-07-07,2.3786,3.36,0.0774,
BAC,2025-07-08,2.4076,1.22,0.029,
BAC,2025-07-09,2.3786,-1.2,-0.029,
BAC,2025-07-10,2.4656,3.66,0.087,
BAC,2025-07-11,2.4656,0.0,0.0,
BAC,2025-07-14,2.4173,-1.96,-0.0484,
BAC,2025-07-15,2.4173,0.0,0.0,
BAC,2025-07-16,2.4173,0.0,0.0,
BAC,2025-07-17,2.3786,-1.6,-0.0387,
BAC,2025-07-18,2.3496,-1.22,-0.029,
BAC,2025-07-21,2.4656,4.94,0.116,
BAC,2025-07-22,2.3979,-2.75,-0.0677,
BAC,2025-07-23,2.456,2.42,0.058,
BAC,2025-07-24,2.4076,-1.97,-0.0484,
BAC,2025-07-25,2.3979,-0.4,-0.0097,
BAC,2025-07-28,2.4463,2.02,0.0483,
BAC,2025-07-29,2.3979,-1.98,-0.0483,
BAC,2025-07-30,2.4076,0.4,0.0097,
BAC,2025-07-31,2.4366,1.2,0.029,
BAC,2025-08-01,2.3399,-3.97,-0.0967,
BAC,2025-08-04,2.3303,-0.41,-0.0097,
BAC,2025-08-05,2.3303,0.0,0.0,
BAC,2025-08-06,2.4946,7.05,0.1644,
BAC,2025-08-07,2.4946,0.0,0.0,
BAC,2025-08-08,2.514,0.78,0.0193,
BAC,2025-08-11,2.7364,8.85,0.2224,
BAC,2025-08-12,2.7267,-0.35,-0.0097,
